"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3590","User login with correct email and password","LMS system","Thu Nov 27 19:16:12 UTC 2025","passed","Thu Nov 27 19:16:15 UTC 2025","Authorization","Authentication","",""
"","1664","User login with wrong email or password","LMS system","Thu Nov 27 19:16:14 UTC 2025","passed","Thu Nov 27 19:16:16 UTC 2025","Authorization","Authentication","",""
"","1712","Registration with correct email, username and password","LMS system","Thu Nov 27 19:16:17 UTC 2025","passed","Thu Nov 27 19:16:19 UTC 2025","Registration","Authentication","",""
"","2423","Create course","LMS system","Thu Nov 27 19:16:21 UTC 2025","passed","Thu Nov 27 19:16:23 UTC 2025","Courses","Courses","",""
"","1507","User login with wrong email or password","LMS system","Thu Nov 27 19:16:16 UTC 2025","passed","Thu Nov 27 19:16:17 UTC 2025","Authorization","Authentication","",""
"","1492","Check displaying of empty courses list","LMS system","Thu Nov 27 19:16:19 UTC 2025","passed","Thu Nov 27 19:16:21 UTC 2025","Courses","Courses","",""
"","2680","Edit course","LMS system","Thu Nov 27 19:16:21 UTC 2025","passed","Thu Nov 27 19:16:24 UTC 2025","Courses","Courses","",""
"","1327","Navigation from login page to registration page","LMS system","Thu Nov 27 19:16:16 UTC 2025","passed","Thu Nov 27 19:16:18 UTC 2025","Authorization","Authentication","",""
"","2110","User login with wrong email or password","LMS system","Thu Nov 27 19:16:12 UTC 2025","passed","Thu Nov 27 19:16:14 UTC 2025","Authorization","Authentication","",""
"","1580","Check displaying of dashboard page","LMS system","Thu Nov 27 19:16:24 UTC 2025","passed","Thu Nov 27 19:16:25 UTC 2025","Dashboard","Dashboard","",""
