"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1530","Registration with correct email, username and password","LMS system","Thu Nov 27 19:18:51 UTC 2025","passed","Thu Nov 27 19:18:53 UTC 2025","Registration","Authentication","",""
"","1455","User login with wrong email or password","LMS system","Thu Nov 27 19:18:49 UTC 2025","passed","Thu Nov 27 19:18:51 UTC 2025","Authorization","Authentication","",""
"","1605","Check displaying of dashboard page","LMS system","Thu Nov 27 19:18:57 UTC 2025","passed","Thu Nov 27 19:18:58 UTC 2025","Dashboard","Dashboard","",""
"","2561","Edit course","LMS system","Thu Nov 27 19:18:55 UTC 2025","passed","Thu Nov 27 19:18:57 UTC 2025","Courses","Courses","",""
"","1639","Navigation from login page to registration page","LMS system","Thu Nov 27 19:18:50 UTC 2025","passed","Thu Nov 27 19:18:51 UTC 2025","Authorization","Authentication","",""
"","3244","User login with correct email and password","LMS system","Thu Nov 27 19:18:46 UTC 2025","passed","Thu Nov 27 19:18:49 UTC 2025","Authorization","Authentication","",""
"","1593","User login with wrong email or password","LMS system","Thu Nov 27 19:18:48 UTC 2025","passed","Thu Nov 27 19:18:50 UTC 2025","Authorization","Authentication","",""
"","1327","Check displaying of empty courses list","LMS system","Thu Nov 27 19:18:53 UTC 2025","passed","Thu Nov 27 19:18:54 UTC 2025","Courses","Courses","",""
"","1870","User login with wrong email or password","LMS system","Thu Nov 27 19:18:46 UTC 2025","passed","Thu Nov 27 19:18:48 UTC 2025","Authorization","Authentication","",""
"","2173","Create course","LMS system","Thu Nov 27 19:18:54 UTC 2025","passed","Thu Nov 27 19:18:56 UTC 2025","Courses","Courses","",""
