"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2594","Edit course","LMS system","Thu Nov 27 18:56:03 UTC 2025","passed","Thu Nov 27 18:56:05 UTC 2025","Courses","Courses","",""
"","3098","User login with correct email and password","LMS system","Thu Nov 27 18:55:54 UTC 2025","passed","Thu Nov 27 18:55:57 UTC 2025","Authorization","Authentication","",""
"","1603","Registration with correct email, username and password","LMS system","Thu Nov 27 18:55:59 UTC 2025","passed","Thu Nov 27 18:56:01 UTC 2025","Registration","Authentication","",""
"","1358","Navigation from login page to registration page","LMS system","Thu Nov 27 18:55:58 UTC 2025","passed","Thu Nov 27 18:56:00 UTC 2025","Authorization","Authentication","",""
"","1913","User login with wrong email or password","LMS system","Thu Nov 27 18:55:54 UTC 2025","passed","Thu Nov 27 18:55:56 UTC 2025","Authorization","Authentication","",""
"","1657","User login with wrong email or password","LMS system","Thu Nov 27 18:55:56 UTC 2025","passed","Thu Nov 27 18:55:58 UTC 2025","Authorization","Authentication","",""
"","1508","User login with wrong email or password","LMS system","Thu Nov 27 18:55:57 UTC 2025","passed","Thu Nov 27 18:55:59 UTC 2025","Authorization","Authentication","",""
"","1404","Check displaying of empty courses list","LMS system","Thu Nov 27 18:56:01 UTC 2025","passed","Thu Nov 27 18:56:03 UTC 2025","Courses","Courses","",""
"","1698","Check displaying of dashboard page","LMS system","Thu Nov 27 18:56:05 UTC 2025","passed","Thu Nov 27 18:56:06 UTC 2025","Dashboard","Dashboard","",""
"","2133","Create course","LMS system","Thu Nov 27 18:56:02 UTC 2025","passed","Thu Nov 27 18:56:04 UTC 2025","Courses","Courses","",""
